smid,楼盘名称,城区,物业类型,开发商,总套数,总面积,住宅套数,住宅面积,可售总套数,可售总面积,可售住宅套数,可售住宅面积,已售总套数,已售总面积,已售住宅套数,已售住宅面积,累积成交毛坯均价,历史开盘信息,历史开盘信息（次数）
819,白马尊邸,西湖区,"住宅,商业",浙江汇骏置业有限公司,1122,131713.93,1076,121610.53,23,5843.31,1,283.4,1092,124204.59,1075,121327.13,11184,20080072#20080127#20090134#,3
1355,保利·东湾,下沙区,住宅,浙江保利房地产开发有限公司,4112,489189.33,4074,483656.79,149,28836.3,147,28508.72,3879,448975.32,3879,448975.32,13300,20083010#20083011#20093002#20093005#20093014#20093015#20093017#20093019#20093020#20093022#20093023#20093027#20093036#20103008#20103010#20103011#20103014#20103020#20103027#20103029#20113010#,21
1528,保利·江语海,下沙区,"住宅,商业,其他",浙江保利房地产开发有限公司,1236,104597.73,1222,102402.08,309,26419.55,303,25813.18,908,75520.41,908,75520.41,15452,20103033#20103039#20103044#20113012#20113019#20113028#,6
4110,保利·湾天地,下沙区,"办公,其他",浙江保利房地产开发有限公司,1588,149753.13,0,0,366,45078.52,0,0,1211,103570.03,0,0,10288,20113016#20113022#20113030#20113036#20113037#,5
1144,保亿·风景蝶院,滨江区,商业,杭州华荣风景置业有限公司,2,275.46,0,0,2,275.46,0,0,0,0,0,0,29800,20104003#,1
2541,滨江·城市之星,江干区,住宅,杭州滨江房产集团股份有限公司,811,194416.4,486,102953.96,5,2181.18,0,0,789,189792.83,486,102953.96,38917,20090096#20100065#20100071#20100106#20110021#,5
1422,滨江·金色海岸,上城区,"住宅,其他",杭州滨江房产集团股份有限公司,469,132579.04,433,126206.44,2,163.42,0,0,433,126206.44,433,126206.44,24933,20060010#20060059#20060060#20060139#20070064#20070150#,6
571,滨江·金色家园,上城区,商业,杭州金色家园房地产开发有限公司,864,127269.29,832,118673.94,0,0,0,0,840,122043.07,832,118673.94,10525,20040095#20040105#20050034#20070046#,4
922,滨江·金色蓝庭,西湖区,"住宅,商业,办公,其他",杭州金色蓝庭房地产开发有限公司,839,97191.56,725,83449.04,0,0,0,0,832,96056.27,725,83449.04,15615,20080145#20080163#20090007#,3
509,滨江·钱塘春晓花园,滨江区,"住宅,商业",杭州滨兴房地产开发有限公司,1274,199736.16,1216,190193.13,2,396.1,1,254.62,1165,180839.11,1164,180724.7,5989,20044005#,1
555,滨江·庆春大厦,江干区,"商业,办公,其他",杭州滨江房屋建设开发有限公司,42,34627.33,0,0,0,0,0,0,10,8224.69,0,0,10869,20040065#,1
743,滨江·万家花城,拱墅区,"住宅,商业,其他",杭州万家花城房地产开发有限公司,2680,285564.13,2594,273852.4,1,88.7,0,0,2661,282026.86,2594,273852.4,10472,20070051#20070062#20070141#20080031#,4
1061,滨江·万家星城,下城区,"住宅,商业",杭州万家星城房地产开发有限公司,4196,471201.9,4003,432626.78,1203,149002.91,1078,122363.46,2939,313855.65,2914,309095.55,21418,20090128#20090138#20090144#20100044#20100047#20100062#20100068#20100076#20100101#20100107#20100108#,11
808,滨江·新城时代广场,江干区,"商业,办公,其他",杭州新城时代广场房产有限公司,1251,168375.07,0,0,5,4585.52,0,0,1170,102019.23,0,0,13087,20080059#,1
